,id,content,content_clean,content_no_stopwords
69,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cX4CxeLuFc,Probz end up in the Crown princes garage,Probz end up in the Crown princes garage,Probz end Crown princes garage
70,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWvcThEt4P,I’ve never understood that. We’re all gonna die sooner or later. I don’t get how people can just let their cars sit like that. What’s the point of making money off of it later when you’re gonna get old and die anyways? Why not enjoy it?,I’ve never understood that We’re all gonna die sooner or later I don’t get how people can just let their cars sit like that What’s the point of making money off of it later when you’re gonna get old and die anyways Why not enjoy it,I’ve never understood We’re gonna die sooner later I don’t get people let cars sit like What’s point making money later you’re gonna get old die anyways Why enjoy
71,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWpt20U9H7,"@Richard the Lion Heart well, mentioning Mona Lisa kind of proves my point. Imagine if that was always in “closed circuit” (not displayed in public), would we ever know/talk about it? Anyway, I get your point also, it’s expensive, risks etc etc, but I also think  that who can afford to buy might not be stressed on things like these 😀", the Lion Heart well mentioning Mona Lisa kind of proves my point Imagine if that was always in “closed circuit” not displayed in public would we ever knowtalk about it Anyway I get your point also it’s expensive risks etc etc but I also think  that who can afford to buy might not be stressed on things like these 😀,Lion Heart well mentioning Mona Lisa kind proves point Imagine always “closed circuit” displayed public would ever knowtalk Anyway I get point also it’s expensive risks etc etc I also think afford buy might stressed things like 😀
72,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWVvmlifxa,Ha ha Ha. Would you drive the Mona Lisa ???,Ha ha Ha Would you drive the Mona Lisa ,Ha ha Ha Would drive Mona Lisa
73,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWSoECWoxW,These are type of cars you ride until the wheels fall off !!! Obviously with respect the car is an absolute masterpiece of machinery I hope to see it on the road one day !!,These are type of cars you ride until the wheels fall off  Obviously with respect the car is an absolute masterpiece of machinery I hope to see it on the road one day ,These type cars ride wheels fall Obviously respect car absolute masterpiece machinery I hope see road one day
74,UgxNwRSzjSOjz2Bfcep4AaABAg.9cVOwEUj_hb9cWFrItJ_Vc,But you know very well this is exactly what they are going to do,But you know very well this is exactly what they are going to do,But know well exactly going
75,UgypNSeeo65YPy2i71p4AaABAg,"As gorgeous as that Centodieci is, that EB110 is just absolutely stunning, what a masterpiece",As gorgeous as that Centodieci is that EB110 is just absolutely stunning what a masterpiece,As gorgeous Centodieci EB110 absolutely stunning masterpiece
76,UgzM7DHXi1I39YpcmrZ4AaABAg,I can't even imagine being at a point of wealth and prestige to be able to own that car. Mind blowing,I cant even imagine being at a point of wealth and prestige to be able to own that car Mind blowing,I cant even imagine point wealth prestige able car Mind blowing
77,UgzM7DHXi1I39YpcmrZ4AaABAg.9cTUosn50BG9cU0VIQlii3,@VK but this is a call back to the eb110 which is what shaped modern Bugatti, but this is a call back to the eb110 which is what shaped modern Bugatti,call back eb110 shaped modern Bugatti
78,UgzM7DHXi1I39YpcmrZ4AaABAg.9cTUosn50BG9cTkUBztud1,Chiron looks better anyway.,Chiron looks better anyway,Chiron looks better anyway
